timestamp,vendor,part_number,quantity,lot,date_code,engine,processing_time,raw_text,image_hash,vendor_lot,description,hu,ibd
2026-03-10 02:49:47,UNKNOWN,UNKNOWN-PART,0.0,UNKNOWN-LOT,0.0,google_vision,1.4745538234710691,MOCK TEXT DATA 1P E28-01941-0258-A Q 2500 1T KEM-22B-99,,,,,
2026-03-10 11:08:31,UNKNOWN,SRN3012TA-2R2M,2000.0,,,paddleocr + google_vision,172.91s, | VISION: 0.00 02 BOURNS PN: SRN3012TA-2R2M QTY: 2000 03 ROLLS DC: 2515 LOT: QPYLW30436 MADE IN CHINA 8,d5249d1848fd1c1044442d3f9604f1e30f22a8beaeaaf788fdfe3f052ab8bf24,QPYLW30436,,1.0000010731409114e+17,IBD3140911290
2026-03-10 11:20:26,UNKNOWN,,,,,paddleocr + google_vision,381.89s, | VISION: ☐,31bab2ada107e3c125995c11dd18af9495362d3a4e1eeb7e6ac5cb3c8980be9c,,,1.0000010731416269e+17,IBD3141626918
2026-03-10 11:20:29,UNKNOWN,SRN3012TA-2R2M,2000.0,,,paddleocr + google_vision,184.87s, | VISION: ° 000 ZOM 0000GXM BOURNS PN: SRN3012TA-2R2M QTY: 2000 DC: 2515 03 TRANS: LOT: QPYLW30436 MADE IN CHINA,b49b27035e7ff9ae2e3d994476e8bf19e1ca164f8810aaa5f9c2f11a04a65225,QPYLW30436,,1.0000010731416296e+17,IBD3141629783
2026-03-10 11:28:54,UNKNOWN,SRN3012TA-2R2M,2000.0,,,barcode_detector + paddleocr + google_vision,6.49s,PSRN3012TA-2R2M+Q2000+9D2515+1TQPYLW30436 | OCR:  | VISION: 0003005 麵 BOURNS PN: SRN3012TA-2R2M QTY: 2000 03 ROLL$ DC: 2515 LOT; QPYLW30436 & MADE IN CHINA,97df611bcb89a64ac478e6c1b52176200d55bd3990265799a2585db2dc323705,QPYLW30436,PSRN3012TA-2R2M+Q2000+9D2515+1TQPYLW30436,1.0000010731421342e+17,IBD3142134202
2026-03-10 11:36:35,UNKNOWN,SW0007301,2500.0,,,paddleocr + google_vision,417.27s, | VISION: C US... CUST P/N SW0007301 UST PO #25260716. QUANTITY 2500 KENET P/N_C0005X72AK CAP 220UP VOLTS SA C/C 255200320. 256CPT ROHS-PRC D/C 2 2552 [5] UNIT ACTOP 110% SWINGTEL COMMUNICATIONS PVT. LTD. KEMET YAGEO COMPANY 60200,18223b021176815893e04f305e63002e13b175c68406d0529164ef218641d377,,,1.000001073142595e+17,IBD3142595010
2026-03-10 11:36:37,UNKNOWN,BAV70W-AU,70.0,,,paddleocr + google_vision,260.72s, | VISION: PAN NO: BAV70W-AU MPN BAV70W-AU R1 000A+ : MARKING JA CUST PIN SW0006259 FA LOT NO 5N18A70P7 ཡ་ུལཱ་ཨཱུཤཤཱཊ་ PASA PANCI (NF ROHS,c6362905b07ec619ae7b6658cdf582c104fc90c4f8204c529ddea1a8e1a400e7,5N18A70P7,,1.0000010731425976e+17,IBD3142597764
2026-03-10 11:36:40,UNKNOWN,NO,3000.0,,,paddleocr + google_vision,127.57s, | VISION: AW PART NO BAV70W.AU MPN: BAVTOW.AU RI ODDA! | | | | | | | | | BUN MARKING JA CUST PIN SWOOD8259 LOT NO 5N1BA70P7 | | | QTY: 3000 BUEL DC 2) PAST DEL-7425 PANEL (){F R+M!,6fe447095bd2c07ca64a77b2c902a370475a57caad526c157f43bcad7be324a7,5N1BA70P7,,1.0000010731426003e+17,IBD3142600330
2026-03-10 11:40:10,UNKNOWN,,902475.0,,,paddleocr + google_vision,10.93s, | VISION: [902475,04a0fd85e32dee419cef65b2d2e4404da5a48ab1969bc13d4fc8dfaee787529d,,,1.0000010731428104e+17,IBD3142810468
2026-03-10 12:32:10,,,,,,none,3.74s,,e01f0007fce4d761326440d8b25dcda9d5ddde97788bde6f9eb1f82fe8f9c865,,,1.00000107314593e+17,IBD3145930074
2026-03-10 12:32:42,UNKNOWN,,,,,paddleocr,2.69s,,e4d266b1c3a736a819c8ddad84f116d4ea35d92afc5d7a0c747a320619e13ed8,,,1.0000010731459626e+17,IBD3145962693
